Ano,mes_nome,mes_num,taxa
1994,Out,10,3.62
1995,Out,10,3.09
1996,Out,10,1.86
1997,Out,10,1.67
1998,Out,10,2.94
1999,Out,10,1.38
2000,Out,10,1.29
2001,Out,10,1.53
2002,Out,10,1.65
2003,Out,10,1.64
2004,Out,10,1.21
2005,Out,10,1.41
2006,Out,10,1.09
2007,Out,10,0.93
2008,Out,10,1.17
2009,Out,10,0.69
2010,Out,10,0.81
2011,Out,10,0.88
2012,Out,10,0.61
2013,Out,10,0.81
2014,Out,10,0.95
2015,Out,10,1.11
2016,Out,10,1.05
2017,Out,10,0.64
2018,Out,10,0.54
2019,Out,10,0.48
2020,Out,10,0.16
2021,Out,10,0.49
2022,Out,10,1.02
2023,Out,10,1.0
2024,Out,10,0.93
1986,Nov,11,2.37
1987,Nov,11,12.92
1988,Nov,11,28.41
1989,Nov,11,48.41
1990,Nov,11,19.83
1991,Nov,11,32.43
1992,Nov,11,26.4
1993,Nov,11,38.38
1994,Nov,11,4.07
1995,Nov,11,2.88
1996,Nov,11,1.8
1997,Nov,11,3.04
1998,Nov,11,2.63
1999,Nov,11,1.39
2000,Nov,11,1.22
2001,Nov,11,1.39
2002,Nov,11,1.54
2003,Nov,11,1.34
2004,Nov,11,1.25
2005,Nov,11,1.38
2006,Nov,11,1.02
2007,Nov,11,0.84
2008,Nov,11,1.01
2009,Nov,11,0.66
2010,Nov,11,0.81
2011,Nov,11,0.86
2012,Nov,11,0.55
2013,Nov,11,0.72
2014,Nov,11,0.84
2015,Nov,11,1.06
2016,Nov,11,1.04
2017,Nov,11,0.57
2018,Nov,11,0.49
2019,Nov,11,0.38
2020,Nov,11,0.15
2021,Nov,11,0.59
2022,Nov,11,1.02
2023,Nov,11,0.92
2024,Nov,11,0.79
1986,Dez,12,5.47
1987,Dez,12,14.38
1988,Dez,12,30.24
1989,Dez,12,64.21
1990,Dez,12,22.86
1991,Dez,12,31.17
1992,Dez,12,25.92
1993,Dez,12,40.38
1994,Dez,12,3.8
1995,Dez,12,2.78
1996,Dez,12,1.8
1997,Dez,12,2.97
1998,Dez,12,2.4
1999,Dez,12,1.6
2000,Dez,12,1.2
2001,Dez,12,1.39
2002,Dez,12,1.74
2003,Dez,12,1.37
2004,Dez,12,1.48
2005,Dez,12,1.47
2006,Dez,12,0.99
2007,Dez,12,0.84
2008,Dez,12,1.12
2009,Dez,12,0.73
2010,Dez,12,0.93
2011,Dez,12,0.91
2012,Dez,12,0.55
2013,Dez,12,0.79
2014,Dez,12,0.96
2015,Dez,12,1.16
2016,Dez,12,1.12
2017,Dez,12,0.54
2018,Dez,12,0.49
2019,Dez,12,0.37
2020,Dez,12,0.16
2021,Dez,12,0.77
2022,Dez,12,1.12
2023,Dez,12,0.89
2024,Dez,12,0.93
